,DATE,A(1),period,A(3),"H(SV,L)","H(RV,L)",H(SV),H(RV),"L(SV,20)","L(SV,40)","L(RV,20)","L(RV,40)",future,dataset
24,2003-12-09,4.94983567872929e-05,1,4.607772344605068e-05,3.955178371169245e-05,3.703796649016476e-05,5.016744185787159e-05,4.256279680768023e-05,3.4312867e-05,4.3520133e-05,3.1170468e-05,2.684255e-05,3.870487451259202e-05,training
25,2003-12-10,4.741859925772343e-05,1,4.4111636014347096e-05,3.877183108701746e-05,3.6843394151340126e-05,4.53216159630215e-05,4.1351735977498486e-05,3.3040524e-05,4.0390085e-05,3.2510292e-05,2.8462375e-05,2.772551464453855e-05,training
26,2003-12-11,3.792589855846729e-05,1,3.7574533982470007e-05,2.740728047517755e-05,3.1357506813638886e-05,2.475853276117467e-05,3.407675539337921e-05,2.3632778e-05,2.4697147e-05,2.9754558e-05,2.633703e-05,2.660872891903539e-05,training
27,2003-12-12,3.6960331096902464e-05,1,3.603091472383423e-05,3.038032073158271e-05,3.032160872182811e-05,3.056895725570631e-05,3.3190732179283415e-05,2.8467153e-05,2.9463825e-05,2.7908774e-05,2.4298675e-05,5.7081375272445054e-05,training
28,2003-12-15,6.330683169652998e-05,1,5.731567453957758e-05,4.754003952960024e-05,4.443621665425687e-05,6.897792522014228e-05,5.377289980290837e-05,4.6776306e-05,5.6541878e-05,3.4527413e-05,3.013626e-05,2.931245824982539e-05,training
29,2003-12-16,3.92979622172439e-05,1,3.7838205483541674e-05,3.277270019871503e-05,3.275274106331661e-05,3.2813984634190363e-05,3.559230976072229e-05,3.1589458e-05,3.0453979e-05,3.14579e-05,2.7861757e-05,1.9208032780308825e-05,training
30,2003-12-17,3.0561725508293864e-05,1,3.2704361202838416e-05,2.6303247750244665e-05,2.5797751009852946e-05,2.6049153175658075e-05,2.8272675968006348e-05,2.7105865e-05,2.5142068e-05,2.6132122e-05,2.2610937e-05,2.0198297877925504e-05,training
31,2003-12-18,3.141790385544384e-05,1,2.9867772953558927e-05,2.3061031140734233e-05,2.5470590289867193e-05,2.1836154356127942e-05,2.8376883394864716e-05,2.4290637e-05,2.235461e-05,2.4197067e-05,2.0266458e-05,4.545795083246783e-05,training
32,2003-12-19,5.325727592687431e-05,1,4.7474156648751e-05,3.716672837646456e-05,3.713166259460801e-05,4.4585879232300865e-05,4.502546427665372e-05,3.6135658e-05,4.0551186e-05,2.9090806e-05,2.4261188e-05,2.052410207586915e-05,training
33,2003-12-22,3.169959256724563e-05,1,3.0127675961491735e-05,2.299240709393141e-05,2.4404117543435806e-05,2.2501672083596767e-05,2.7610016509868764e-05,2.3662456e-05,2.2938595e-05,2.5943453e-05,2.1117137e-05,2.0461610706072707e-05,training
34,2003-12-23,3.1645562835376625e-05,1,3.195525629714976e-05,2.3734470347942933e-05,2.3537885400399e-05,2.5016753436229133e-05,2.7110732128675474e-05,2.5482552e-05,2.528726e-05,2.4297866e-05,1.9582492e-05,7.610050703661824e-06,training
35,2003-12-24,2.053416708120442e-05,1,1.95890023029355e-05,1.4652514280065605e-05,1.4396862896152371e-05,1.5963287973035798e-05,1.8418370187703895e-05,1.6960363e-05,1.6147123e-05,1.9493036e-05,1.7577202e-05,1.0629767472222427e-05,training
36,2003-12-26,2.3144999390643315e-05,1,2.1302125122573327e-05,1.458354038703088e-05,1.5535891267395152e-05,1.599494463147454e-05,1.9833190832621066e-05,1.5645568e-05,1.7775663e-05,1.887988e-05,1.7306442e-05,1.5967160849698136e-05,training
37,2003-12-29,2.7759683530289007e-05,1,2.3914643301412555e-05,1.520474143159138e-05,1.6762795821351994e-05,1.7227108290286548e-05,2.2140232329749983e-05,1.9015295e-05,1.9307763e-05,1.9738187e-05,1.728233e-05,1.886404867587699e-05,training
38,2003-12-30,3.0264318538496453e-05,1,2.6620171424704346e-05,1.7655550824938412e-05,1.7915135734906845e-05,2.1841259975534085e-05,2.4001800421961095e-05,2.1211172e-05,2.2855203e-05,2.0835556e-05,1.7407065e-05,2.370046758919636e-05,training
39,2003-12-31,3.444586261320596e-05,1,3.0928700567983256e-05,2.0582508876805034e-05,1.9850512759358276e-05,2.8935542523692122e-05,2.7078164840582252e-05,2.4362253e-05,2.7924696e-05,2.2432774e-05,1.7726874e-05,4.855088494075891e-05,training
40,2004-01-02,5.593141158918712e-05,1,4.986786074725831e-05,3.0325902230613115e-05,3.1112268385408125e-05,4.325452582285354e-05,4.4322706646565224e-05,2.9699304e-05,3.820065e-05,2.8191205e-05,1.9442316e-05,2.0369375064738447e-05,training
41,2004-01-05,3.1565816352201625e-05,1,3.053652810878182e-05,2.0343588485266016e-05,2.2866958409099602e-05,1.977156053437277e-05,2.6585142281159e-05,1.9899751e-05,2.0288833e-05,2.5458237e-05,1.8964876e-05,2.1280356516839166e-05,training
42,2004-01-06,3.2353446448244645e-05,1,3.290808990483143e-05,2.37155537475625e-05,2.373670859069198e-05,2.4616113320577137e-05,2.7209734065559057e-05,2.2344166e-05,2.4412095e-05,2.4180019e-05,1.8701094e-05,2.9257098559904414e-05,training
43,2004-01-07,3.9250098500821545e-05,1,3.5645025736939335e-05,2.7388680159408016e-05,2.8021685771459162e-05,2.899049188311144e-05,3.258915626546204e-05,2.5770765e-05,2.641798e-05,2.5522488e-05,1.903362e-05,2.8728094390266528e-05,training
44,2004-01-08,3.87927240899834e-05,1,3.567795296904561e-05,2.776095387957251e-05,2.826907125945086e-05,2.899360828814116e-05,3.242754805299267e-05,2.5912988e-05,2.6359041e-05,2.6327587e-05,1.9485138e-05,4.350267236586649e-05,training
45,2004-01-09,5.1566751753315394e-05,1,4.751352520758206e-05,3.4714025067617456e-05,3.325259351206922e-05,4.77218374306754e-05,4.1702733649510746e-05,3.2171673e-05,3.9330214e-05,3.0352641e-05,2.2586239e-05,2.691287102505429e-05,training
46,2004-01-12,3.722329087025679e-05,1,3.575486182619421e-05,2.6944146646300566e-05,2.783926558020586e-05,2.6823784511222173e-05,3.1248025289544706e-05,2.6292735e-05,2.5767324e-05,2.8479453e-05,2.1966265e-05,4.181191429197622e-05,training
47,2004-01-13,5.01049306140893e-05,1,4.781050788107749e-05,3.775028856195721e-05,3.536738951867036e-05,4.952851080996436e-05,4.148784433553097e-05,3.7395785e-05,4.216656e-05,3.135726e-05,2.4988984e-05,1.7732933872357245e-05,training
48,2004-01-14,2.928636222634813e-05,1,2.8677563258319574e-05,2.235728055705558e-05,2.3780899985971496e-05,2.0479993290134793e-05,2.571788841399154e-05,2.3192526e-05,2.0661231e-05,2.5590902e-05,2.0631402e-05,6.263256144937074e-05,training
49,2004-01-15,6.810636004214253e-05,1,6.267662326354423e-05,4.175663717500593e-05,4.263557240719532e-05,5.3610558379179005e-05,5.543030657373229e-05,3.6314228e-05,4.482263e-05,3.330913e-05,2.703371e-05,3.661697397001691e-05,training
50,2004-01-16,4.5613410687654835e-05,1,4.2463238457668836e-05,3.5335490636963e-05,3.3756313464758673e-05,4.151119077116982e-05,3.869067730813343e-05,3.447766e-05,3.554192e-05,3.325977e-05,2.7629676e-05,2.7182743800145083e-05,training
51,2004-01-20,3.7456621548147086e-05,1,3.9540203577558596e-05,3.143802095027231e-05,2.995625040116664e-05,3.331523431620174e-05,3.274603035005979e-05,3.3054614e-05,2.9855804e-05,2.9923818e-05,2.5403571e-05,3.90887103753706e-05,training
52,2004-01-21,4.775046186235484e-05,1,4.501899458349238e-05,3.120552990931206e-05,3.476280410100713e-05,3.032461602227713e-05,4.038771359234214e-05,2.9470346e-05,2.7205597e-05,3.158765e-05,2.651948e-05,4.284363816280679e-05,training
53,2004-01-22,5.099695401324663e-05,1,4.720596724209381e-05,3.9692732147625924e-05,3.8772265353378994e-05,4.416373171215139e-05,4.3545488602681444e-05,3.349829e-05,3.4674253e-05,3.3849585e-05,2.8175158e-05,3.9544458252524224e-05,training
54,2004-01-23,4.814449924195917e-05,1,4.626880432525972e-05,3.7193174639061046e-05,3.6303882305308276e-05,4.142267696967042e-05,4.086255021348445e-05,3.0010498e-05,3.414498e-05,3.4340526e-05,2.9020284e-05,3.7279975981638755e-05,training
55,2004-01-26,4.618663897554834e-05,1,4.4885757019233894e-05,3.3098715098251387e-05,3.563590717388708e-05,3.160085156401582e-05,3.956449166902864e-05,2.7888049e-05,2.7441707e-05,3.3839093e-05,2.8680848e-05,4.176930239182671e-05,training
56,2004-01-27,5.006808857418833e-05,1,4.774536713594632e-05,4.075983260358879e-05,3.91432350051061e-05,4.5735733018701796e-05,4.313333414798468e-05,3.517102e-05,3.301923e-05,3.4880148e-05,2.9005289e-05,6.692934006221711e-05,training
57,2004-01-28,7.182133375945333e-05,1,6.631197435524152e-05,5.4478454530839625e-05,5.031156553859765e-05,8.690575159552832e-05,6.0452248823257595e-05,5.0466766e-05,6.1090825e-05,4.246823e-05,3.627079e-05,8.023160767119586e-05,training
58,2004-01-29,8.332240909999884e-05,1,7.769347626059406e-05,5.659359644059112e-05,5.77089245729768e-05,6.808390903207377e-05,7.057178215824597e-05,4.9730144e-05,4.9894366e-05,5.1871495e-05,4.387753e-05,4.769419963384615e-05,training
59,2004-01-30,5.51907256740059e-05,1,5.6984828900838506e-05,4.884804348053354e-05,4.760951061324876e-05,5.046271943342977e-05,5.030474676769208e-05,4.3614575e-05,3.8582268e-05,4.7517e-05,4.24543e-05,6.54503432063394e-05,training
60,2004-02-02,7.054260033084617e-05,1,7.034783732904075e-05,5.812359604189054e-05,5.719093330701125e-05,6.381139694520177e-05,6.280827117672218e-05,4.820599e-05,4.7340418e-05,5.0593742e-05,4.588942e-05,3.644215497805853e-05,training
61,2004-02-03,4.546226304451808e-05,1,4.586048711737026e-05,4.604449998466014e-05,4.4348774280076554e-05,4.320438046567603e-05,4.406680590324977e-05,3.9149392e-05,3.340587e-05,4.1707353e-05,4.0006118e-05,4.8895384288680655e-05,training
62,2004-02-04,5.622926403597916e-05,1,5.594347542729244e-05,5.0858313270019165e-05,4.909765481908535e-05,5.323412387210538e-05,5.1650261369003584e-05,4.6576126e-05,4.0199215e-05,4.1548556e-05,4.0010924e-05,3.776427926885226e-05,training
63,2004-02-05,4.660536522265501e-05,1,4.489180456270019e-05,4.4231703928801456e-05,4.168553918013734e-05,4.64559114486042e-05,4.335240175690741e-05,4.4050274e-05,3.7307196e-05,3.7820686e-05,3.7194688e-05,5.0777557678750156e-05,training
64,2004-02-06,5.785658191887516e-05,1,5.5505383935120185e-05,3.9906896658089466e-05,4.751814688820778e-05,3.458723542139904e-05,5.1900509254015464e-05,3.6088233e-05,2.9264187e-05,4.008926e-05,3.8754886e-05,1.956640839377626e-05,training
65,2004-02-09,3.087157530622765e-05,1,3.163339152831212e-05,3.0315870865059286e-05,2.900131109289499e-05,2.9068548726729995e-05,3.05103192452785e-05,3.0291396e-05,2.4162593e-05,2.9643501e-05,2.8621911e-05,2.664241112467291e-05,training
66,2004-02-10,3.6989452566719486e-05,1,3.7102775677720045e-05,3.100769870305039e-05,3.199262107124611e-05,2.9785721457287375e-05,3.458887698641005e-05,2.9482011e-05,2.5271662e-05,2.7841677e-05,2.5981186e-05,4.902148272712368e-05,training
67,2004-02-11,5.633828812747161e-05,1,5.0415036863598875e-05,3.54806880322505e-05,4.130986007513766e-05,3.4448877735689516e-05,4.9017367272965155e-05,3.4232755e-05,3.0372448e-05,3.2886768e-05,3.0455083e-05,2.4607613548866484e-05,training
68,2004-02-12,3.5230176561302715e-05,1,3.403121517551969e-05,3.0502318961585026e-05,2.992292681989523e-05,3.1130731327138674e-05,3.292146889214426e-05,3.0250316e-05,2.5948995e-05,2.9103043e-05,2.6254773e-05,3.911329680768752e-05,training
69,2004-02-13,4.7771719171164455e-05,1,4.6346727815635254e-05,3.757841541554787e-05,3.565363682215787e-05,4.71863655561758e-05,4.195899059278802e-05,3.8391405e-05,3.5834106e-05,3.1307598e-05,2.7867658e-05,2.153869874864865e-05,training
70,2004-02-17,3.257680787495959e-05,1,3.1126401994146175e-05,2.7147506880056567e-05,2.7893021434820277e-05,2.6281954199469135e-05,3.0517410065268152e-05,2.4563657e-05,2.194811e-05,2.709837e-05,2.3924698e-05,2.112744762759844e-05,training
71,2004-02-18,3.2221242172470664e-05,1,3.1766678638381575e-05,2.8855994189343366e-05,2.7049209872679417e-05,3.0801268568694064e-05,2.9968629960267153e-05,2.7227687e-05,2.6296746e-05,2.4972474e-05,2.158133e-05,4.12541072711684e-05,training
72,2004-02-19,4.9622653399378494e-05,1,4.4661993952591665e-05,3.780079604138861e-05,3.524002632992831e-05,5.279510553152196e-05,4.2655838764054045e-05,3.8189286e-05,3.849986e-05,2.8884824e-05,2.4328123e-05,4.4939631186770986e-05,training
73,2004-02-20,5.280913930303879e-05,1,4.815644620782311e-05,3.978072667848326e-05,3.8376109125886624e-05,4.981637514220309e-05,4.568269720072449e-05,3.6734968e-05,3.6161513e-05,3.2851567e-05,2.7491056e-05,4.009110958059453e-05,training
74,2004-02-23,4.861713129943652e-05,1,4.700495628596227e-05,3.846021346918142e-05,3.6669811025275445e-05,4.70168493554154e-05,4.2603151278364386e-05,3.5912006e-05,3.1892767e-05,3.4090775e-05,2.8324737e-05,4.552653834648242e-05,training
75,2004-02-24,5.331657635513889e-05,1,5.125734056757401e-05,4.1480152080658826e-05,4.110936318779357e-05,4.647367229616942e-05,4.68602915972619e-05,3.723053e-05,3.368239e-05,3.6265603e-05,3.1085416e-05,3.4281101392205246e-05,training
76,2004-02-25,4.35938267119729e-05,1,4.259081333070479e-05,3.806528982098674e-05,3.802305109973174e-05,3.713844206747732e-05,4.008273202105517e-05,3.361276e-05,2.9248591e-05,3.3858785e-05,3.0300005e-05,3.1780424718070186e-05,training
77,2004-02-26,4.1431753922807285e-05,1,4.090428158720901e-05,3.609632841580224e-05,3.6010928262890256e-05,3.5260400852910365e-05,3.811946766893116e-05,3.2895143e-05,2.8853494e-05,3.1616644e-05,2.8832781e-05,3.593866563773496e-05,training
78,2004-02-27,4.502694862998064e-05,1,4.260376448606085e-05,3.7703888613129106e-05,3.703498182381167e-05,3.938822704942968e-05,4.0259191803928895e-05,3.5117864e-05,3.302197e-05,3.1737633e-05,2.910543e-05,3.033197139303614e-05,training
79,2004-03-01,4.0179428281182406e-05,1,3.833166439588058e-05,3.195960047996453e-05,3.3528704695682465e-05,3.0161887615507063e-05,3.601274895323583e-05,3.041819e-05,2.7836686e-05,3.0187777e-05,2.773866e-05,0.0001738240322645442,training
80,2004-03-02,0.0001642419604271627,1,0.0001449087843034492,7.095260752709715e-05,7.745233386650275e-05,0.00011737038007422583,0.0001323927882929263,6.501348e-05,7.931235e-05,5.590692e-05,4.5858098e-05,3.421984148560761e-05,training
81,2004-03-03,4.354086169714652e-05,1,4.659881937522569e-05,3.881628941536866e-05,3.9470309061119606e-05,3.8214723529666285e-05,4.3196644957758395e-05,3.5329052e-05,2.957965e-05,4.419886e-05,4.0039093e-05,1.3921386957207929e-05,training
82,2004-03-04,2.5990917455295173e-05,1,4.228442196690928e-05,2.5334762760857678e-05,2.5308008852314022e-05,2.562716087542144e-05,2.9537162904129932e-05,2.4016526e-05,1.9781699e-05,2.755857e-05,2.6518037e-05,8.181758419046638e-05,training
83,2004-03-05,8.469363662094834e-05,1,7.587454397367444e-05,5.26603601848235e-05,5.632635695502985e-05,6.392201228550894e-05,7.448050758290258e-05,4.7646103e-05,4.8716585e-05,3.840979e-05,3.5467867e-05,3.0661815301704834e-05,training
84,2004-03-08,4.046460970706637e-05,1,3.838855436832677e-05,4.097092477662969e-05,3.757490361807642e-05,4.5833603638894485e-05,4.1839063942047014e-05,3.613183e-05,3.60647e-05,3.3926695e-05,3.2026233e-05,5.9297203743170594e-05,training
85,2004-03-09,6.522262612592027e-05,1,6.528326171374066e-05,4.622926452124551e-05,4.521993402915575e-05,6.102303466212754e-05,5.6573198990320114e-05,4.7823964e-05,4.7933456e-05,3.9859005e-05,3.652913e-05,5.914549873855174e-05,training
86,2004-03-10,6.509146272288651e-05,1,6.049575766623727e-05,5.120356974289622e-05,4.760168236738328e-05,7.411353278927937e-05,5.75474815837966e-05,5.4279735e-05,5.699719e-05,4.4210916e-05,4.0701667e-05,0.00011596616765684512,training
87,2004-03-11,0.00011421833442169278,1,0.00010585665598197517,7.882828110058795e-05,7.542581059894036e-05,0.00012153861708144493,9.760385093601049e-05,7.1870156e-05,8.121092e-05,6.131385e-05,5.3823027e-05,4.839013710679646e-05,training
88,2004-03-12,5.579242980024884e-05,1,5.80524101019446e-05,4.953361680084723e-05,5.04178023451057e-05,4.809151673425167e-05,5.349204207828219e-05,4.2746935e-05,3.9826402e-05,5.324972e-05,5.071524e-05,6.198129490946027e-05,training
89,2004-03-15,6.754327818554006e-05,1,7.187632767177388e-05,6.416873251061461e-05,5.9509354944034805e-05,7.57299570570347e-05,6.340742152018643e-05,5.6018034e-05,5.6667548e-05,5.297615e-05,5.0942046e-05,6.718068904344405e-05,training
90,2004-03-16,7.203864885600944e-05,1,6.857768382530121e-05,6.409847031901307e-05,6.23838876873685e-05,6.939873070328865e-05,6.71743913809643e-05,5.7648598e-05,5.217045e-05,5.460616e-05,5.2942258e-05,2.752451666039621e-05,training
91,2004-03-17,3.7752116687069784e-05,1,4.094974988831987e-05,3.9375718548346307e-05,4.066148828842879e-05,3.4628322305085474e-05,4.095996507878482e-05,3.3848068e-05,2.7720758e-05,3.910827e-05,4.086849e-05,8.026708694767032e-05,training
92,2004-03-18,8.335308430844869e-05,1,7.902834363709833e-05,6.114683795920722e-05,6.190537625681823e-05,7.223104000848401e-05,7.389251789137853e-05,6.211361e-05,5.8293386e-05,4.8443795e-05,4.8363614e-05,3.731262389303363e-05,training
93,2004-03-19,4.6214866199635336e-05,1,4.480419207996641e-05,4.83953758566751e-05,4.417857503380666e-05,5.3380051213400315e-05,4.614448441358872e-05,4.991155e-05,4.4090535e-05,4.1465544e-05,4.2507734e-05,8.351134556781584e-05,training
94,2004-03-22,8.615805440161705e-05,1,8.33173117950748e-05,6.555147648852718e-05,6.335269268565765e-05,8.687035233532866e-05,7.65423031412104e-05,6.9093265e-05,6.8537665e-05,5.1559055e-05,5.0787887e-05,7.013030796323424e-05,training
95,2004-03-23,7.458887490916053e-05,1,7.036816494677506e-05,6.031100930151565e-05,5.939795240508127e-05,7.051953648309033e-05,6.832928275519819e-05,6.072454e-05,5.7662895e-05,5.5429064e-05,5.4616e-05,0.000107709637213204,training
96,2004-03-24,0.00010707977869005731,1,0.00010293933064774556,7.941578916695772e-05,7.968975381515998e-05,9.642675243347866e-05,9.524073470027999e-05,7.728056e-05,7.652494e-05,6.798504e-05,6.492129e-05,4.505404609920495e-05,training
97,2004-03-25,5.2908061875239696e-05,1,5.6499375231991274e-05,5.21709150510371e-05,5.320266700184295e-05,4.8098199892635e-05,5.429300953179769e-05,4.5759716e-05,4.003375e-05,5.516523e-05,5.6458895e-05,3.4853918120539617e-05,training
98,2004-03-26,4.408908124620372e-05,1,5.06997201937906e-05,4.9830916870825135e-05,4.763139405704163e-05,4.6863529398893784e-05,4.77388527197473e-05,4.874131e-05,3.7392576e-05,4.2965225e-05,4.648037e-05,3.513191319599097e-05,training
99,2004-03-29,4.4329434425154096e-05,1,4.335700207214349e-05,4.3934001952898e-05,4.4528359278886973e-05,4.136502229421094e-05,4.639907457001655e-05,3.9500836e-05,3.4394543e-05,3.721853e-05,4.0841685e-05,3.297909194075174e-05,training
100,2004-03-30,4.246811572528657e-05,1,4.061087764860728e-05,4.015202254420941e-05,4.082380248691222e-05,3.9138295570624254e-05,4.388644688941396e-05,3.3843193e-05,3.2016585e-05,3.3848777e-05,3.600851e-05,3.642498374568953e-05,training
101,2004-03-31,4.544741688121938e-05,1,4.310931826899165e-05,3.973562807644436e-05,3.8507944021251106e-05,4.3512322370096044e-05,4.284064712694306e-05,4.2717387e-05,3.8321905e-05,3.3422282e-05,3.4608478e-05,0.00018563088261491168,training
102,2004-04-01,0.0001744501053394231,1,0.00015356591568830877,8.05940756446832e-05,8.552586929943416e-05,0.00013929285699918666,0.00014343218828785252,8.880012e-05,0.000102054226,6.185688e-05,5.527772e-05,4.256173818963615e-05,training
103,2004-04-02,5.075322467887774e-05,1,5.394974039376596e-05,4.961531301510583e-05,4.7771086433930224e-05,5.342442261244624e-05,5.271307082654979e-05,4.7805082e-05,4.173608e-05,5.178776e-05,4.9656024e-05,1.985095844985955e-05,training
104,2004-04-05,3.111759588928684e-05,1,4.8359238102147356e-05,3.1181844085244726e-05,3.2976131832526724e-05,3.111316685365706e-05,3.730533770874706e-05,2.5990852e-05,2.1789067e-05,3.369444e-05,3.48726e-05,1.5208929870075164e-05,training
105,2004-04-06,2.7104120743663565e-05,1,2.7705912344514464e-05,2.7936326945943075e-05,2.760800383428699e-05,3.0142327454748105e-05,3.3677995019714324e-05,2.4905286e-05,2.1861624e-05,2.494634e-05,2.4828592e-05,3.056019626570567e-05,training
106,2004-04-07,4.037675038688015e-05,1,3.6307140342323e-05,3.663801927195177e-05,3.6108050254814166e-05,4.0838205226963195e-05,4.306513070232556e-05,3.325866e-05,3.298178e-05,2.6325075e-05,2.5011897e-05,4.946845424196132e-05,training
107,2004-04-08,5.672473750725673e-05,1,5.0407548753999605e-05,4.09128886440741e-05,3.948723554975817e-05,5.695305663099988e-05,5.079041693697072e-05,4.5169054e-05,4.6362697e-05,3.1994852e-05,2.9287641e-05,1.390304423236726e-05,training
